sequence,row_index,id,relative_path,source_sha256,source_size_bytes,expected_status,schedule_schema_version,schedule_design,schedule_sha256,repeat,schedule_row,complete_block,row_in_block,order_in_repeat,arm_position,label,arm,schedule_order_json,timing_scope,parser_inclusive,result,time_s,exit_code,process_returncode,timed_out,error_kind,error_detail,stdout,stderr,argv_json
10,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,1,1,0,1,4,4,action,action,"[""scan"",""incremental"",""production"",""watched"",""action"",""learned""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.004287209,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""action"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
11,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,1,1,0,1,5,5,learned,learned,"[""scan"",""incremental"",""production"",""watched"",""action"",""learned""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.003438458,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""learned"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
12,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,2,2,0,2,0,0,incremental,incremental,"[""incremental"",""watched"",""scan"",""learned"",""production"",""action""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.003869833,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""incremental"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
13,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,2,2,0,2,1,1,watched,watched,"[""incremental"",""watched"",""scan"",""learned"",""production"",""action""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.004229208,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""watched"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
14,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,2,2,0,2,2,2,scan,scan,"[""incremental"",""watched"",""scan"",""learned"",""production"",""action""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.004058083,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""scan"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
15,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,2,2,0,2,3,3,learned,learned,"[""incremental"",""watched"",""scan"",""learned"",""production"",""action""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.003487292,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""learned"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
16,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,2,2,0,2,4,4,production,production,"[""incremental"",""watched"",""scan"",""learned"",""production"",""action""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.003869583,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
17,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,2,2,0,2,5,5,action,action,"[""incremental"",""watched"",""scan"",""learned"",""production"",""action""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.004128666,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""action"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
18,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,3,3,0,3,0,0,watched,watched,"[""watched"",""learned"",""incremental"",""action"",""scan"",""production""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.004186166,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""watched"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
19,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,3,3,0,3,1,1,learned,learned,"[""watched"",""learned"",""incremental"",""action"",""scan"",""production""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.003503166,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""learned"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
